,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,Si,Fe,Mn,Ni,Co,Cu,Cd,Zn,As,Ag,FeS2,S,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,Al,Ca,Mg,S_PY,TOC,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag.1,Al.1,As.1,Au,B,Ba,Be,Bi,Br,C,Ca.1,Cd.1,Co.1,Cr,Cs,Cu.1,Ga,GER,Hf,Hg,I,INDIUM,Ir,K,Li,Mg.1,Mn.1,Mo,N,Na,Nb,Ni.1,Os,OS_INI,P,Pa,Pb,Pd,Pt,Rb,Re,Rh,Ru,S.1,Sb,Sc,Se,Si.1,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn.1,Zr,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole
ODP0129-0801B-043R-001/132-135,,ODP0129,"ANDERSEN, 2015; HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MC-ICP-MS; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,47.3,2.42,13.54,,12.51,,,,,0.153,11.16,6.85,,3.22,1.61,0.512,,5.74,,,,,,,,,,,,,,,,310.0,60.4,35.5,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,48.6,6.2,24.9,5.3,1.83,0.833,5.36,4.59,0.851,2.23,,1.92,0.29,,,,,,421.0,2.1,,,,,,60.4,316.0,0.236,35.5,18.8,,4.89,,,,,7026.448196811396,25.9,,,,,,24.844945015288264,310.0,,,4250.1761358811045,,1.9,,,36.6,,,,,,19.2,,,,350.0,2.62,,1.940875781937591,,,0.723,173.0,,23.8,90.5,235.0,,,,,,,,,,,Northwest,132.0,135.0,133.5,493.52,,,,,,,,,,,,,,,,,,,,,6.8489178831088315,40.98751227185929,40.98995360167667,OLD_Oceanic_Crust,31.519999999999982,801,801
ODP0129-0801B-038R-001/022-025,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.45,2.67,18.62,,5.97,,0.61,,,0.04,4.69,2.0,,2.04,5.8,0.36,,5.67,,,4.81,,,,,,,,,,,,,67.0,18.0,64.0,,93.0,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,43.0,,21.0,4.17,1.32,,0.61,,,,,1.69,0.24,,,,,,457.0,,,,,,,18.0,194.0,1.33,64.0,18.0,,4.19,,,,,25312.670522674594,,,,,,,26.20286403444548,67.0,,,2988.4050955414014,,1.0,,,82.0,,,,162.0,,28.2,,,,102.0,2.47,,2.014471293803364,,,1.18,335.0,,20.0,93.0,194.0,,,,,,,4.81,,4.81,,Northwest,22.0,25.0,23.5,466.32,,,,,,,,,,,,,,,,,,,,,1.9992391365608972,58.38793577329562,58.39046876682275,OLD_Oceanic_Crust,4.319999999999993,801,801
ODP0129-0801B-040R-001/015-018,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.58,3.3,17.42,,9.02,,0.75,,,0.12,2.75,2.63,,2.91,5.88,0.63,,2.68,,,2.72,,,,,,,,,,,,,82.0,36.0,37.0,,111.0,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,59.1,,28.0,6.88,2.17,,0.93,,,,,1.84,0.25,,,,,,439.0,,,,,,,36.0,123.0,3.31,37.0,22.0,,3.64,,,,,25661.81080574597,,,,,,,43.02359697252256,82.0,,,5229.708917197453,,6.0,,,110.0,,,,105.0,,11.69,,,,317.0,3.17,,3.139317628300897,,,0.78,241.0,,33.0,111.0,153.0,,,,,,,2.72,,2.72,,Northwest,15.0,18.0,16.5,477.05,,,,,,,,,,,,,,,,,,,,,2.62866848898157,52.228522973752,52.23231425134216,OLD_Oceanic_Crust,15.050000000000011,801,801
ODP0129-0801B-041R-001/020-025,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,3.56,15.14,,4.27,,5.57,,,0.14,4.52,7.71,,3.88,3.01,0.69,,4.67,,,1.54,,,,,,,,,,,,,28.0,,44.0,,101.0,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.61,81.76,9.36,39.08,8.22,2.69,8.05,,7.0,1.22,3.36,,2.82,0.44,,,,,,448.0,,,,,,,,42.0,0.47,44.0,23.0,,7.5,,,,,13136.403150560434,,,,,,,52.184831748405074,28.0,,,5727.776433121019,,9.0,,,62.0,,,,251.0,,28.6,,,,486.0,3.49,,3.046969355216941,,,1.04,301.0,,36.0,101.0,308.0,,,,,,,1.54,,1.54,,Northwest,20.0,25.0,22.5,484.7,,,,,,,,,,,,,,,,,,,,,7.708541678408387,39.02143904609666,39.0241059393416,OLD_Oceanic_Crust,22.69999999999999,801,801
ODP0129-0801B-041R-001/026-031,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.77,3.31,16.03,,4.76,,4.72,,,0.14,5.2,8.25,,3.81,2.14,0.62,,5.09,,,2.0,,,,,,,,,,,,,46.0,28.0,44.0,,90.0,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,63.8,,31.0,7.28,2.32,,1.03,,,,,2.31,0.32,,,,,,414.0,,,,,,,28.0,73.0,0.29,44.0,23.0,,5.92,,,,,9339.502572159246,,,,,,,38.55486027879371,46.0,,,5146.697664543525,,3.0,,,39.0,,,,358.0,,22.5,,,,518.0,3.17,,3.043854164812136,,,1.4,267.0,,32.0,90.0,272.0,,,,,,,2.0,,2.0,,Northwest,26.0,31.0,28.5,483.26,,,,,,,,,,,,,,,,,,,,,8.248689624077102,40.465299196977554,40.467733059100176,OLD_Oceanic_Crust,21.25999999999999,801,801
ODP0129-0801B-041R-001/130-136,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.08,3.24,15.8,,4.28,,5.79,,,0.15,4.86,7.64,,3.71,2.61,0.61,,4.71,,,1.55,,,,,,,,,,,,,45.0,,44.0,,90.0,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,74.16,8.65,35.47,7.41,2.47,7.23,,6.4,1.14,3.11,,2.6,0.44,,,,,,422.0,,,,,,,,61.0,0.39,44.0,24.0,,6.4,,,,,11390.701735203567,,,,,,,46.19516997530017,45.0,,,5063.686411889597,,10.0,,,52.0,,,,250.0,,25.2,,,,512.0,3.23,,3.149465134849061,,,1.01,275.0,,32.0,90.0,285.0,,,,,,,1.55,,1.55,,Northwest,130.0,136.0,133.0,484.3,,,,,,,,,,,,,,,,,,,,,7.638710759172631,40.91219063936098,40.91467406265642,OLD_Oceanic_Crust,22.30000000000001,801,801
ODP0129-0801B-042R-002/000-007,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.91,2.89,17.42,,4.63,,4.68,,,0.14,6.5,8.36,,3.43,1.96,0.54,,2.93,,,1.97,,,,,,,,,,,,,69.0,,37.0,,72.0,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.44,64.95,7.48,31.41,6.62,2.22,6.58,,5.68,1.02,2.71,,2.26,0.38,,,,,,377.0,,,,,,,,154.0,0.29,37.0,22.0,,5.8,,,,,8553.936935248656,,,,,,,42.09436632046726,69.0,,,4482.6076433121025,,8.0,,,42.0,,,,276.0,,22.6,,,,572.0,2.76,,3.0956734770024124,,,1.0,234.0,,29.0,72.0,243.0,,,,,,,1.97,,1.97,,Northwest,0.0,7.0,3.5,489.05,,,,,,,,,,,,,,,,,,,,,8.358858704841346,43.135645476483205,43.137862073274476,OLD_Oceanic_Crust,27.05000000000001,801,801
ODP0129-0801B-042R-002/129-134,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,2.92,16.96,,4.04,,5.7,,,0.14,7.18,8.06,,3.26,1.82,0.56,,2.85,,,2.09,,,,,,,,,,,,,92.0,34.0,39.0,,71.0,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,58.4,20.0,25.0,6.62,2.09,,0.89,,,,,2.18,0.3,,,,,,354.0,,,,,,,34.0,,0.24,39.0,20.0,,5.3,,,,,7942.941439873752,,,,,,,36.964296935089926,92.0,,,4648.630148619958,,7.0,,,38.0,,,,298.0,,20.1,,,,559.0,2.8,,2.556563692107213,,,0.89,218.0,,28.0,71.0,233.0,,,,,,,2.09,,2.09,,Northwest,129.0,134.0,131.5,490.34,,,,,,,,,,,,,,,,,,,,,8.058816434650286,43.545711872456344,43.548118024891615,OLD_Oceanic_Crust,28.339999999999975,801,801
ODP0129-0801B-043R-001/022-027,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.88,2.94,15.23,,4.7,,5.7,,,0.13,8.28,6.21,,4.02,1.9,0.55,,4.58,,,4.17,,,,,,,,,,,,,163.0,46.0,39.0,,86.0,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,57.8,,28.0,6.65,2.11,,0.9,,,,,2.12,0.3,,,,,,495.0,,,,,,,46.0,199.0,0.35,39.0,18.0,,5.48,,,,,8292.081722945126,,,,,,,35.750050018178925,163.0,,,4565.61889596603,,4.0,,,40.0,,,,379.0,,21.1,,,,384.0,2.73,,2.36949331027492,,,0.95,237.0,,28.0,86.0,244.0,,,,,,,4.17,,4.17,,Northwest,22.0,27.0,24.5,492.24,,,,,,,,,,,,,,,,,,,,,6.208837569745815,43.27841414493204,43.281013572495574,OLD_Oceanic_Crust,30.24000000000001,801,801
ODP0129-0801B-043R-001/128-134,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.43,2.48,13.11,,5.73,,5.72,,,0.15,10.58,6.59,,2.76,1.46,0.46,,6.16,,,3.27,,,,,,,,,,,,,375.0,,35.0,,89.0,,,,1388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.56,55.87,63.1,27.17,5.68,1.89,5.57,,4.91,0.85,2.36,,1.97,0.32,,,,,,371.0,,,,,,,,323.0,0.28,35.0,16.0,,4.8,,,,,6371.81016605257,,,,,,,36.04381988065317,375.0,,,3818.51762208068,,2.0,,,32.0,,,,1388.0,,20.7,,,,372.0,2.37,,2.700277235940983,,,0.77,204.0,,25.0,89.0,208.0,,,,,,,3.27,,3.27,,Northwest,128.0,134.0,131.0,493.48,,,,,,,,,,,,,,,,,,,,,6.589027785605591,42.00223081925516,42.00460968878252,OLD_Oceanic_Crust,31.480000000000018,801,801
